id	pval	qval
ENSG00000121410	0.107426231	0.325278905303002
ENSG00000171428	0.028446619500000003	0.15304363154210004
ENSG00000156006	0.22254186	0.4717480433565558
ENSG00000273259	0.633250988	0.78682658920701
ENSG00000114771	0.010544984299999999	0.08344739933508773
ENSG00000127837	0.0835185339	0.28188129242392024
ENSG00000129673	0.0134756393	0.09766861506184739
ENSG00000090861	0.0158544307	0.10852130558397978
ENSG00000183044	0.183173275	0.42751648951099613
ENSG00000165029	0.0658314762	0.24627646257677419
ENSG00000107331	0.554834433	0.7388618444372642
ENSG00000167972	0.10473609099999999	0.320123338380271
ENSG00000198691	0.28573849100000004	0.5341782143339855
ENSG00000097007	0.735783637	0.8491142320719313
ENSG00000002726	0.0056573239	0.05393031606971831
ENSG00000143322	0.9572626329999999	0.9768316102791779
ENSG00000159842	0.500001955	0.7032874271434756
ENSG00000060971	0.532926742	0.7252871835511606
ENSG00000132142	0.568521488	0.7480035974750832
ENSG00000115361	0.33736898299999996	0.5815145216745569
ENSG00000117054	0.144846179	0.380414519935943
ENSG00000196177	0.816358947	0.8973398315030805
ENSG00000072778	0.0012951886999999999	0.019524834920775627
ENSG00000075239	0.81822169	0.8984035397452333
ENSG00000120437	0.167247358	0.4077683686702703
ENSG00000108684	0.326157772	0.5714360187970217
ENSG00000087085	0.0041575334999999995	0.04363394564059469
ENSG00000131473	0.454295481	0.6713877869696915
ENSG00000122729	0.0029267145	0.033907047000855915
ENSG00000100312	0.917009108	0.9535391237023184
ENSG00000100412	0.33617886399999997	0.5807491858563677
ENSG00000161533	0.0071040302	0.06330855946973683
ENSG00000143727	0.0291705262	0.15543572805487366
ENSG00000134575	0.0073401515	0.06448982952857142
ENSG00000102575	0.120875419	0.3453952532338554
ENSG00000014257	0.460546	0.676383976119403
ENSG00000134940	0.0045725218	0.04654958208827587
ENSG00000143632	0.297222667	0.5459737158592601
ENSG00000107796	0.7125581559999999	0.8351930566572336
ENSG00000159251	0.942398093	0.9680359001612046
ENSG00000163017	0.102782488	0.31683623982684644
ENSG00000130402	0.783032043	0.8777701373919646
ENSG00000136518	0.0836943459	0.28197995435409834
ENSG00000072110	0.046942877800000005	0.2049931586769231
ENSG00000077522	0.392978451	0.6253453033848868
ENSG00000248746	0.0007295679	0.012725977352094521
ENSG00000115170	0.406324646	0.6351221959946118
ENSG00000121989	0.0553121733	0.2239433503934181
ENSG00000114739	0.976486083	0.9866211370723087
ENSG00000243989	0.030210977400000002	0.15858565440232786
ENSG00000119640	0.19566213600000001	0.441190507370643
ENSG00000170634	0.11132975699999999	0.33046865707129797
ENSG00000196839	0.0276777023	0.1507464523793358
ENSG00000151651	0.682238982	0.8167796284777
ENSG00000137845	0.750616927	0.8579989036026472
ENSG00000160710	0.38002463799999997	0.6156015987800061
ENSG00000197381	0.406314303	0.6351221959946118
ENSG00000185736	0.060597262400000004	0.2358022375488138
ENSG00000164742	0.236561012	0.4864240869848024
ENSG00000078295	0.429209965	0.6529847256128186
ENSG00000138031	3.90822819e-10	5.930279709611215e-08
ENSG00000173175	0.218896743	0.46818335595051325
